"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
1986,12,8,21,23,42,-5.49,-35.72,2,RN,6,3.6,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,8,21,49,3,-5.48,-35.70,3,RN,6,3.5,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,9,6,48,44,-5.53,-35.74,3,RN,5,4.4,1,I,6,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,24,7,5,25,-5.53,-35.75,10,RN,0,3.8,1,I,-,,"Joao Camara  (UnB,IAG,UFRN)"
1987,1,3,13,31,4,-5.53,-35.75,10,RN,0,3.7,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,1,4,2,24,48,-5.53,-35.75,10,RN,0,3.5,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,1,7,11,8,27,-5.60,-35.79,2,RN,0,3.7,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,1,7,12,14,16,-5.60,-35.79,2,RN,0,3.8,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,1,28,6,59,56,-0.04,-63.22,300,AM,0,3.9,1,I,-,,BARCELOS ?   BAL3+ATM1
1987,1,28,16,16,12,-5.52,-35.76,2,RN,0,3.7,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,2,3,23,51,56,-5.50,-35.73,2,RN,0,3.8,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,2,7,22,12,38,-5.49,-35.71,2,RN,0,3.7,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1987,4,28,4,59,17,-5.53,-35.75,10,RN,0,3.6,1,I,-,,JOAO CAMARA  (IAG)
1987,7,29,7,18,28,-27.60,-43.50,100,-,0,3.7,1,I,-,,"ATLANTICO    (IAG, IPT)"
1987,8,27,13,1,22,-25.00,-44.10,50,SP,0,3.6,1,I,-,,"Plat. Contin (IAG, ON, IPT)"
1987,10,14,1,8,19,-2.43,-55.15,50,PA,0,3.5,1,I,-,,TUMUCUMAQUE? (UnB) ou: 2.2 N 55.0 W
1987,10,15,9,1,41,-11.60,-56.90,50,MT,0,3.9,1,I,-,,P. GAUCHOS   (UnB)
1987,10,24,21,23,40,-7.01,-73.94,30,-,0,5.2,0,I,-,,Peru-Brasil  (NEIS)
1987,12,10,21,36,24,-11.50,-56.90,50,MT,0,3.5,1,I,-,,P. GAUCHOS   (UnB)  57.9W ??
1988,1,19,23,41,36,-0.40,-49.90,100,PA,0,3.8,1,I,-,,CHAVES ?     (UnB)
